trial_id,timestamp,command_text,target_object,object_shape,object_weight_g,action_type,x,y,z,key_frame,offset_direction,offset_size,contact_status,outcome,failure_reason,notes,valid_trial
T20260602_065546,2026-06-02T06:55:46Z,point red object,red object,not available,not available,point,0.2,-0.08,0.14,102,centered,none,grasped,success,none,nico first time successfully grasped the object | Change: No robot-side tuning change was recorded for action_type=point.,false
T20260602_070551,2026-06-02T07:05:51Z,attempt grasp on dice,dice,cube,not available,grasp_attempt,0.2,-0.08,0.14,136,centered,none,touch,failed,hardware,"nico's hand didn't strong to grab the dice | Change: Grasp tuning used right_grasp_x_bias=-0.055 m, right_grasp_y_bias=+0.027 m, grasp_contact_z_offset=+0.005 m, grasp_hover_z_offset=+0.060 m, captured_seed=True (natural_red_grasp_current), seed_guard=True (+/-0.45 rad), contact_seed_guard_shoulder_y=+/-0.85 rad, contact_seed_guard_elbow_y=+/-0.75 rad, final_contact_nudge_shoulder_y=-0.300 rad, final_contact_nudge_elbow_y=+0.000 rad, right_hand_close_deg=90.0, right_hand_close_deg_by_id={'34': 150.0, '35': 150.0, '36': 150.0, '37': 130.0}, right_xl320_command_repeats=4, right_xl320_command_interval_sec=0.04, captured_stage=False.",true
T20260602_070808,2026-06-02T07:08:08Z,attempt grasp on dice,dice,cube,not available,grasp_attempt,0.2,-0.08,0.14,108,too_far,medium,no_contact,failed,unknown,"nico's performance is not stable. NJF is needed? | Change: Grasp tuning used right_grasp_x_bias=-0.055 m, right_grasp_y_bias=+0.027 m, grasp_contact_z_offset=+0.005 m, grasp_hover_z_offset=+0.060 m, captured_seed=True (natural_red_grasp_current), seed_guard=True (+/-0.45 rad), contact_seed_guard_shoulder_y=+/-0.85 rad, contact_seed_guard_elbow_y=+/-0.75 rad, final_contact_nudge_shoulder_y=-0.300 rad, final_contact_nudge_elbow_y=+0.000 rad, right_hand_close_deg=90.0, right_hand_close_deg_by_id={'34': 150.0, '35': 150.0, '36': 150.0, '37': 130.0}, right_xl320_command_repeats=4, right_xl320_command_interval_sec=0.04, captured_stage=False.",true
T20260602_071052,2026-06-02T07:10:52Z,attempt grasp on dice,dice,cube,not available,grasp_attempt,0.2,-0.08,0.14,94,too_far,medium,no_contact,failed,unknown,"nico's performance is not stable. NJF is needed? | Change: Grasp tuning used right_grasp_x_bias=-0.055 m, right_grasp_y_bias=+0.027 m, grasp_contact_z_offset=+0.005 m, grasp_hover_z_offset=+0.060 m, captured_seed=True (natural_red_grasp_current), seed_guard=True (+/-0.45 rad), contact_seed_guard_shoulder_y=+/-0.85 rad, contact_seed_guard_elbow_y=+/-0.75 rad, final_contact_nudge_shoulder_y=-0.300 rad, final_contact_nudge_elbow_y=+0.000 rad, right_hand_close_deg=90.0, right_hand_close_deg_by_id={'34': 150.0, '35': 150.0, '36': 150.0, '37': 130.0}, right_xl320_command_repeats=4, right_xl320_command_interval_sec=0.04, captured_stage=False.",true
T20260602_071218,2026-06-02T07:12:18Z,attempt grasp on dice,dice,cube,not available,grasp_attempt,0.2,-0.08,0.14,107,too_far,medium,no_contact,failed,unknown,"nico's performance is not stable. NJF is needed? | Change: Grasp tuning used right_grasp_x_bias=-0.055 m, right_grasp_y_bias=+0.027 m, grasp_contact_z_offset=+0.005 m, grasp_hover_z_offset=+0.060 m, captured_seed=True (natural_red_grasp_current), seed_guard=True (+/-0.45 rad), contact_seed_guard_shoulder_y=+/-0.85 rad, contact_seed_guard_elbow_y=+/-0.75 rad, final_contact_nudge_shoulder_y=-0.300 rad, final_contact_nudge_elbow_y=+0.000 rad, right_hand_close_deg=90.0, right_hand_close_deg_by_id={'34': 150.0, '35': 150.0, '36': 150.0, '37': 130.0}, right_xl320_command_repeats=4, right_xl320_command_interval_sec=0.04, captured_stage=False.",true
T20260602_071405,2026-06-02T07:14:05Z,attempt grasp on dice,dice,cube,not available,grasp_attempt,0.2,-0.08,0.14,76,too_far,medium,no_contact,failed,unknown,"nico's performance is not stable. NJF is needed? | Change: Grasp tuning used right_grasp_x_bias=-0.055 m, right_grasp_y_bias=+0.027 m, grasp_contact_z_offset=+0.005 m, grasp_hover_z_offset=+0.060 m, captured_seed=True (natural_red_grasp_current), seed_guard=True (+/-0.45 rad), contact_seed_guard_shoulder_y=+/-0.85 rad, contact_seed_guard_elbow_y=+/-0.75 rad, final_contact_nudge_shoulder_y=-0.300 rad, final_contact_nudge_elbow_y=+0.000 rad, right_hand_close_deg=90.0, right_hand_close_deg_by_id={'34': 150.0, '35': 150.0, '36': 150.0, '37': 130.0}, right_xl320_command_repeats=4, right_xl320_command_interval_sec=0.04, captured_stage=False.",true
T20260602_071912,2026-06-02T07:19:12Z,attempt grasp on dice,dice,cube,not available,grasp_attempt,0.2,-0.08,0.14,unknown,unknown,unknown,unknown,unknown,unknown,"Change: Grasp tuning used right_grasp_x_bias=-0.055 m, right_grasp_y_bias=+0.027 m, grasp_contact_z_offset=+0.005 m, grasp_hover_z_offset=+0.060 m, captured_seed=True (natural_red_grasp_current), seed_guard=True (+/-0.45 rad), contact_seed_guard_shoulder_y=+/-0.85 rad, contact_seed_guard_elbow_y=+/-0.75 rad, final_contact_nudge_shoulder_y=-0.300 rad, final_contact_nudge_elbow_y=+0.000 rad, right_hand_close_deg=90.0, right_hand_close_deg_by_id={'34': 150.0, '35': 150.0, '36': 150.0, '37': 130.0}, right_xl320_command_repeats=4, right_xl320_command_interval_sec=0.04, captured_stage=False.",false
T20260602_072929,2026-06-02T07:29:29Z,attempt grasp on dice,dice,cube,not available,grasp_attempt,0.2,-0.08,0.14,unknown,centered,none,touch,failed,z_too_low,"nico's hand wrist crushed with the table. need to move nico further from the table | Change: Grasp tuning used right_grasp_x_bias=-0.055 m, right_grasp_y_bias=+0.027 m, grasp_contact_z_offset=+0.005 m, grasp_hover_z_offset=+0.060 m, captured_seed=True (natural_red_grasp_current), seed_guard=True (+/-0.45 rad), contact_seed_guard_shoulder_y=+/-0.85 rad, contact_seed_guard_elbow_y=+/-0.75 rad, final_contact_nudge_shoulder_y=-0.300 rad, final_contact_nudge_elbow_y=+0.000 rad, right_hand_close_deg=90.0, right_hand_close_deg_by_id={'34': 150.0, '35': 150.0, '36': 150.0, '37': 130.0}, right_xl320_command_repeats=4, right_xl320_command_interval_sec=0.04, captured_stage=False.",true
T20260602_073157,2026-06-02T07:31:57Z,attempt grasp on dice,dice,cube,not available,grasp_attempt,0.2,-0.08,0.14,unknown,too_far,medium,no_contact,failed,unknown,"nico's hand is too far from the boject | Change: Grasp tuning used right_grasp_x_bias=-0.055 m, right_grasp_y_bias=+0.027 m, grasp_contact_z_offset=+0.005 m, grasp_hover_z_offset=+0.060 m, captured_seed=True (natural_red_grasp_current), seed_guard=True (+/-0.45 rad), contact_seed_guard_shoulder_y=+/-0.85 rad, contact_seed_guard_elbow_y=+/-0.75 rad, final_contact_nudge_shoulder_y=-0.300 rad, final_contact_nudge_elbow_y=+0.000 rad, right_hand_close_deg=90.0, right_hand_close_deg_by_id={'34': 150.0, '35': 150.0, '36': 150.0, '37': 130.0}, right_xl320_command_repeats=4, right_xl320_command_interval_sec=0.04, captured_stage=False.",true
T20260602_073324,2026-06-02T07:33:24Z,attempt grasp on dice,dice,cube,not available,grasp_attempt,0.2,-0.08,0.14,111,too_far,medium,no_contact,failed,unknown,"nico's hand is too far from the object | Change: Grasp tuning used right_grasp_x_bias=-0.055 m, right_grasp_y_bias=+0.027 m, grasp_contact_z_offset=+0.005 m, grasp_hover_z_offset=+0.060 m, captured_seed=True (natural_red_grasp_current), seed_guard=True (+/-0.45 rad), contact_seed_guard_shoulder_y=+/-0.85 rad, contact_seed_guard_elbow_y=+/-0.75 rad, final_contact_nudge_shoulder_y=-0.300 rad, final_contact_nudge_elbow_y=+0.000 rad, right_hand_close_deg=90.0, right_hand_close_deg_by_id={'34': 150.0, '35': 150.0, '36': 150.0, '37': 130.0}, right_xl320_command_repeats=4, right_xl320_command_interval_sec=0.04, captured_stage=False.",true
T20260602_073440,2026-06-02T07:34:40Z,attempt grasp on dice,dice,cube,not available,grasp_attempt,0.2,-0.08,0.14,110,too_far,medium,no_contact,failed,unknown,"nico's hand is too far from the object | Change: Grasp tuning used right_grasp_x_bias=-0.055 m, right_grasp_y_bias=+0.027 m, grasp_contact_z_offset=+0.005 m, grasp_hover_z_offset=+0.060 m, captured_seed=True (natural_red_grasp_current), seed_guard=True (+/-0.45 rad), contact_seed_guard_shoulder_y=+/-0.85 rad, contact_seed_guard_elbow_y=+/-0.75 rad, final_contact_nudge_shoulder_y=-0.300 rad, final_contact_nudge_elbow_y=+0.000 rad, right_hand_close_deg=90.0, right_hand_close_deg_by_id={'34': 150.0, '35': 150.0, '36': 150.0, '37': 130.0}, right_xl320_command_repeats=4, right_xl320_command_interval_sec=0.04, captured_stage=False.",true
T20260602_075403,2026-06-02T07:54:03Z,attempt grasp on dice,dice,cube,not available,grasp_attempt,0.2,-0.08,0.14,111,centered,none,grasped,failed,hardware,"object slipped  | Change: Grasp tuning used right_grasp_x_bias=-0.055 m, right_grasp_y_bias=+0.027 m, grasp_contact_z_offset=+0.005 m, grasp_hover_z_offset=+0.060 m, captured_seed=True (natural_red_grasp_current), seed_guard=True (+/-0.45 rad), contact_seed_guard_shoulder_y=+/-0.85 rad, contact_seed_guard_elbow_y=+/-0.75 rad, final_contact_nudge_shoulder_y=-0.300 rad, final_contact_nudge_elbow_y=+0.000 rad, right_hand_close_deg=90.0, right_hand_close_deg_by_id={'34': 150.0, '35': 150.0, '36': 150.0, '37': 130.0}, right_xl320_command_repeats=4, right_xl320_command_interval_sec=0.04, captured_stage=False.",true
T20260602_081518,2026-06-02T08:15:18Z,point red object,red object,not available,not available,point,0.2,-0.08,0.14,unknown,unknown,unknown,unknown,unknown,unknown,Change: No robot-side tuning change was recorded for action_type=point.,false
T20260602_081617,2026-06-02T08:16:17Z,attempt grasp on dice,dice,cube,not available,grasp_attempt,0.2,-0.08,0.14,117,centered,none,grasped,success,none,"hand weak grasp problem fixed | Change: Grasp tuning used right_grasp_x_bias=-0.055 m, right_grasp_y_bias=+0.027 m, grasp_contact_z_offset=+0.005 m, grasp_hover_z_offset=+0.060 m, captured_seed=True (natural_red_grasp_current), seed_guard=True (+/-0.45 rad), contact_seed_guard_shoulder_y=+/-0.85 rad, contact_seed_guard_elbow_y=+/-0.75 rad, final_contact_nudge_shoulder_y=-0.300 rad, final_contact_nudge_elbow_y=+0.000 rad, right_hand_close_deg=90.0, right_hand_close_deg_by_id={'34': 150.0, '35': 150.0, '36': 150.0, '37': 75.0}, right_xl320_position_max_raw=1600, right_xl320_command_repeats=4, right_xl320_command_interval_sec=0.04, captured_stage=False.",true
T20260602_082518,2026-06-02T08:25:18Z,attempt grasp on dice,dice,cube,not available,grasp_attempt,0.2,-0.08,0.14,unknown,unknown,unknown,unknown,unknown,unknown,"Change: Grasp tuning used right_grasp_x_bias=-0.055 m, right_grasp_y_bias=+0.027 m, grasp_contact_z_offset=+0.005 m, grasp_hover_z_offset=+0.060 m, captured_seed=True (natural_red_grasp_current), seed_guard=True (+/-0.45 rad), contact_seed_guard_shoulder_y=+/-0.85 rad, contact_seed_guard_elbow_y=+/-0.75 rad, final_contact_nudge_shoulder_y=-0.300 rad, final_contact_nudge_elbow_y=+0.000 rad, right_hand_close_deg=90.0, right_hand_close_deg_by_id={'34': 150.0, '35': 150.0, '36': 150.0, '37': 70.0}, right_xl320_position_max_raw=1500, right_xl320_command_repeats=4, right_xl320_command_interval_sec=0.04, captured_stage=False.",false
